id,scientific_name,common_name_th,common_name_en,category,care_level,origin_country,description_th,description_en,care_instructions,water_needs,light_needs,humidity_needs,temperature_min,temperature_max,growth_rate,max_height,max_width,is_poisonous,is_rare,is_trending
33,Philodendron hastatum,ฟิโลเดนดรอน ฮัสตาตุม (ซิลเวอร์ซอร์ด),Silver Sword,indoor,moderate,Brazil,ฟิโลเดนดรอน ฮัสตาตุม (ซิลเวอร์ซอร์ด) เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Silver Sword is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,FALSE,TRUE
34,Anthurium crystallinum,อันธูเรียม คริสตัลลินุม,Crystallinum,indoor,difficult,Peru,อันธูเรียม คริสตัลลินุม เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Crystallinum is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
35,Anthurium clarinervium,อันธูเรียม คลารีเนอร์เวียม,Clarinervium,indoor,difficult,Mexico,อันธูเรียม คลารีเนอร์เวียม เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Clarinervium is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
36,Anthurium magnificum,อันธูเรียม แมกนิฟิคุม,Magnificum,indoor,difficult,Colombia,อันธูเรียม แมกนิฟิคุม เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Magnificum is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
37,Anthurium warocqueanum,อันธูเรียม วาโรเควานุม (ควีน),Queen Anthurium,indoor,difficult,Colombia,อันธูเรียม วาโรเควานุม (ควีน) เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Queen Anthurium is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
38,Anthurium regale,อันธูเรียม รีเกล,Regale,indoor,difficult,Peru,อันธูเรียม รีเกล เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Regale is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
39,Anthurium veitchii,อันธูเรียม เวทชิไอ (คิง),King Anthurium,indoor,difficult,Colombia,อันธูเรียม เวทชิไอ (คิง) เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"King Anthurium is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
40,Anthurium forgetii,อันธูเรียม ฟอร์เก็ตตีไอ,Forgetii,indoor,difficult,Colombia,อันธูเรียม ฟอร์เก็ตตีไอ เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Forgetii is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
41,Anthurium villenaorum,อันธูเรียม วิลเลนาออรัม,Villenaorum,indoor,difficult,Peru,อันธูเรียม วิลเลนาออรัม เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Villenaorum is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
42,Anthurium vittarifolium,อันธูเรียม วิตตาริโฟลิอุม,Vittarifolium,indoor,difficult,Ecuador,อันธูเรียม วิตตาริโฟลิอุม เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Vittarifolium is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
43,Anthurium pallidiflorum,อันธูเรียม พัลลิดิฟลอรัม,Pallidiflorum,indoor,difficult,Ecuador,อันธูเรียม พัลลิดิฟลอรัม เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Pallidiflorum is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
44,Anthurium luxurians,อันธูเรียม ลักซ์ซูเรียนส์,Luxurians,indoor,difficult,Colombia,อันธูเรียม ลักซ์ซูเรียนส์ เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Luxurians is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
45,Anthurium dressleri,อันธูเรียม เดรสเลอรี,Dressleri,indoor,difficult,Panama,อันธูเรียม เดรสเลอรี เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Dressleri is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
46,Anthurium radicans,อันธูเรียม แรดดิคานส์,Radicans,indoor,moderate,Brazil,อันธูเรียม แรดดิคานส์ เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Radicans is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,high,18.0,30.0,moderate,150.0,100.0,TRUE,FALSE,TRUE
47,Anthurium pedatoradiatum,อันธูเรียม เพดาโตราเดียตุม (ฟิงเกอร์ส),Fingers,indoor,moderate,Mexico,อันธูเรียม เพดาโตราเดียตุม (ฟิงเกอร์ส) เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Fingers is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,high,18.0,30.0,moderate,150.0,100.0,TRUE,FALSE,TRUE
48,Anthurium hookeri,อันธูเรียม ฮูคเคอรี (เบิร์ดเนสต์),Hookeri (Bird's Nest),indoor,moderate,Trinidad and Tobago,อันธูเรียม ฮูคเคอรี (เบิร์ดเนสต์) เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Hookeri (Bird's Nest) is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,high,18.0,30.0,moderate,150.0,100.0,TRUE,FALSE,TRUE
49,Anthurium andraeanum,อันธูเรียม อันดราเอนัม (ฟลามิงโก้),Flamingo Flower,indoor,moderate,Colombia,อันธูเรียม อันดราเอนัม (ฟลามิงโก้) เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Flamingo Flower is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,high,18.0,30.0,moderate,150.0,100.0,TRUE,FALSE,TRUE
50,Anthurium scherzerianum,อันธูเรียม เชอร์เซอเรียนุม (ดอกงุ้ม),Scherzerianum,indoor,moderate,Costa Rica,อันธูเรียม เชอร์เซอเรียนุม (ดอกงุ้ม) เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Scherzerianum is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,high,18.0,30.0,moderate,150.0,100.0,TRUE,FALSE,TRUE
51,Alocasia amazonica,อาโลคาเซีย อเมโซนิกา,African Mask Plant,indoor,moderate,Philippines,อาโลคาเซีย อเมโซนิกา เป็นไม้วงศ์ Araceae ใบเป็นหูช้างขนาดกลาง ลายกระดูกใบสีขาวชัดเจน เหมาะปลูกในร่มที่มีแสงสว่าง,"African Mask Plant is an aroid with distinctive elephant ear foliage and prominent white veining, suitable for bright indoor locations.",ใช้ดินโปร่งระบายน้ำดี (กาบมะพร้าว+เพอร์ไลต์+ดินใบ) รดน้ำเมื่อหน้าดินแห้ง ความชื้น 60-70% หลีกเลี่ยงแสงแดดจัด,moderate,indirect,high,18.0,28.0,moderate,80.0,60.0,TRUE,FALSE,TRUE
52,Alocasia macrorrhizos,อาโลคาเซีย แมโครไรซอส (หูช้างใหญ่),Giant Taro,outdoor,easy,Indonesia,อาโลคาเซีย แมโครไรซอส (หูช้างใหญ่) เป็นไม้วงศ์ Araceae ใบใหญ่เป็นหูช้าง ปลูกกลางแจ้งได้ดี ทนแดดได้บ้าง,"Giant Taro is a large aroid with massive elephant ear leaves, suitable for outdoor cultivation with some sun tolerance.",ใช้ดินร่วนปนทรายระบายน้ำดี รดน้ำสม่ำเสมอ ชอบที่ชื้นแต่ไม่ขังน้ำ ปลูกในแสงแรงได้บ้าง,high,indirect,moderate,20.0,35.0,fast,300.0,200.0,TRUE,FALSE,FALSE
53,Alocasia 'Black Velvet',อาโลคาเซีย แบล็ค เวลเว็ท,Black Velvet,indoor,moderate,Malaysia,อาโลคาเซีย แบล็ค เวลเว็ท เป็นไม้วงศ์ Araceae ใบสีดำกำมะหยี่ ขนาดเล็ก ลายกระดูกใบสีเงิน เป็นไม้ประดับในร่มที่นิยม,"Black Velvet is a compact aroid with velvety black leaves and silver veining, popular as an indoor ornamental plant.",ใช้ดินโปร่งระบายน้ำดี รดน้ำปานกลาง ควบคุมความชื้น 60-80% หลีกเลี่ยงใบเปียกน้ำ,moderate,indirect,high,18.0,28.0,slow,30.0,30.0,TRUE,TRUE,TRUE
54,Alocasia cuprea,อาโลคาเซีย คูเปรีย,Mirror Plant,indoor,moderate,Borneo,อาโลคาเซีย คูเปรีย เป็นไม้วงศ์ Araceae ใบสีทองแดงเหมือนกระจก ขนาดเล็กกะทัดรัด เหมาะปลูกในร่มที่มีความชื้นสูง,"Mirror Plant is a compact aroid with copper-colored reflective leaves, suitable for high humidity indoor environments.",ใช้ดินโปร่งระบายน้ำดี ความชื้น 70-80% รดน้ำเมื่อหน้าดินเริ่มแห้ง ใช้ถาดกรวดเพิ่มความชื้น,moderate,indirect,very_high,20.0,28.0,slow,40.0,35.0,TRUE,TRUE,TRUE
55,Alocasia frydek,อาโลคาเซีย ฟรายเด็ค,Green Velvet Alocasia,indoor,moderate,Philippines,อาโลคาเซีย ฟรายเด็ค เป็นไม้วงศ์ Araceae ใบสีเขียวกำมะหยี่ ลายกระดูกใบสีขาว ขนาดกลาง เหมาะปลูกในร่ม,"Green Velvet Alocasia is an aroid with velvety green leaves and white veining, medium-sized and suitable for indoor cultivation.",ใช้ดินโปร่งระบายน้ำดี รดน้ำปานกลาง ความชื้น 65-75% วางในที่แสงสว่างแต่ไม่แรง,moderate,indirect,high,18.0,28.0,moderate,60.0,45.0,TRUE,FALSE,TRUE
56,Alocasia longiloba,อาโลคาเซีย ลองกิโลบา,Longiloba,indoor,moderate,Malaysia,อาโลคาเซีย ลองกิโลบา เป็นไม้วงศ์ Araceae ใบเรียวยาวแหลมคม สีเขียวเข้ม ลายกระดูกใบชัด เป็นไม้ประดับในร่มที่โดดเด่น,"Longiloba is an aroid with elongated pointed leaves, dark green color with prominent veining, distinctive as an indoor ornamental.",ใช้ดินโปร่งระบายน้ำดี ความชื้น 60-70% รดน้ำเมื่อดินเริ่มแห้ง หลีกเลี่ยงแสงแดดจัด,moderate,indirect,high,18.0,28.0,moderate,70.0,50.0,TRUE,FALSE,TRUE
57,Alocasia zebrina,อาโลคาเซีย เซบริน่า,Zebrina,indoor,moderate,Philippines,อาโลคาเซีย เซบริน่า เป็นไม้วงศ์ Araceae โดดเด่นที่ก้านใบลายม้าลาย สีเขียวเข้มสลับขาว ใบเป็นรูปหัวใจแหลม,"Zebrina is an aroid distinguished by its zebra-striped petioles in dark green and white, with arrow-shaped leaves.",ใช้ดินโปร่งระบายน้ำดี รดน้ำปานกลาง ความชื้น 65-75% ต้องการแสงสว่างแต่ไม่แรง,moderate,indirect,high,18.0,28.0,moderate,90.0,60.0,TRUE,TRUE,TRUE
58,Calathea orbifolia,คาลาเธีย ออร์บิโฟเลีย,Orbifolia,indoor,moderate,Bolivia,คาลาเธีย ออร์บิโฟเลีย เป็นไม้วงศ์ Marantaceae ใบใหญ่กลมลายเส้นสีเงิน เป็นไม้ประดับในร่มที่ต้องการความชื้นสูง,"Orbifolia is a Marantaceae with large round leaves featuring silver striping, an indoor ornamental requiring high humidity.",ใช้ดินร่วนผสมใบไผ่ รดน้ำด้วยน้ำกรอง ความชื้น 70-80% หลีกเลี่ยงแสงแดดโดยตรง ใช้น้ำไม่มีคลอรีน,high,indirect,very_high,18.0,26.0,moderate,100.0,80.0,FALSE,FALSE,TRUE
59,Calathea medallion,คาลาเธีย เมดัลเลียน,Medallion,indoor,moderate,Brazil,คาลาเธีย เมดัลเลียน เป็นไม้วงศ์ Marantaceae ใบลายคล้ายเหรียญ สีเขียวเข้มและสีเงิน ด้านหลังใบสีม่วงแดง,"Medallion is a Marantaceae with medallion-patterned leaves in dark green and silver, purple-red undersides.",ใช้ดินร่วนผสมใบไผ่ รดน้ำด้วยน้ำกรอง ความชื้น 70-80% หลีกเลี่ยงแสงแดดโดยตรง,high,indirect,very_high,18.0,26.0,moderate,60.0,50.0,FALSE,FALSE,TRUE
60,Calathea lancifolia,คาลาเธีย แลนซิโฟเลีย (แรตเทิลสเนค),Rattlesnake Plant,indoor,moderate,Brazil,คาลาเธีย แลนซิโฟเลีย (แรตเทิลสเนค) เป็นไม้วงศ์ Marantaceae ใบยาวลายจุดเขียวเข้มคล้ายงูพิษ ด้านหลังใบสีม่วง,"Rattlesnake Plant is a Marantaceae with elongated leaves featuring dark green spots resembling snake patterns, purple undersides.",ใช้ดินร่วนผสมใบไผ่ รดน้ำด้วยน้ำกรอง ความชื้น 70-80% วางในที่แสงรำไร,high,indirect,very_high,18.0,26.0,moderate,80.0,60.0,FALSE,FALSE,TRUE
61,Calathea roseopicta 'Dottie',คาลาเธีย โรเซโอพิคต้า ด็อตตี้,Dottie,indoor,moderate,Brazil,คาลาเธีย โรเซโอพิคต้า ด็อตตี้ เป็นไม้วงศ์ Marantaceae ใบสีดำเข้มขอบสีชมพู ด้านหลังใบสีม่วงแดงเข้ม,"Dottie is a Marantaceae with near-black leaves edged in pink, deep purple-red undersides creating dramatic contrast.",ใช้ดินร่วนผสมใบไผ่ รดน้ำด้วยน้ำกรอง ความชื้น 70-80% ต้องการแสงสว่างแต่ไม่แรง,high,indirect,very_high,18.0,26.0,moderate,40.0,40.0,FALSE,TRUE,TRUE
62,Calathea makoyana,คาลาเธีย มาโคยานา (พีค็อกเพลนท์),Peacock Plant,indoor,moderate,Brazil,คาลาเธีย มาโคยานา (พีค็อกเพลนท์) เป็นไม้วงศ์ Marantaceae ใบบางโปร่งลายคล้ายขนนกยูง สีเขียวอ่อนถึงเข้ม,Peacock Plant is a Marantaceae with thin translucent leaves featuring peacock-like patterns in light to dark green shades.,ใช้ดินร่วนผสมใบไผ่ รดน้ำด้วยน้ำกรอง ความชื้น 70-80% หลีกเลี่ยงลมแรงและแสงแดดจัด,high,indirect,very_high,18.0,26.0,moderate,50.0,45.0,FALSE,FALSE,TRUE
63,Calathea zebrina,คาลาเธีย เซบริน่า,Zebra Plant,indoor,moderate,Brazil,คาลาเธีย เซบริน่า เป็นไม้วงศ์ Marantaceae ใบใหญ่ลายทางสีเขียวเข้มและอ่อนสลับกัน คล้ายลายม้าลาย,Zebra Plant is a Marantaceae with large leaves featuring alternating dark and light green stripes resembling zebra patterns.,ใช้ดินร่วนผสมใบไผ่ รดน้ำด้วยน้ำกรอง ความชื้น 70-80% วางในที่แสงรำไรสม่ำเสมอ,high,indirect,very_high,18.0,26.0,moderate,90.0,70.0,FALSE,FALSE,TRUE
64,Calathea warscewiczii,คาลาเธีย วาร์เซวิชซี่ (เวลเว็ทจังเกิล),Velvet Jungle,indoor,moderate,Costa Rica,คาลาเธีย วาร์เซวิชซี่ (เวลเว็ทจังเกิล) เป็นไม้วงศ์ Marantaceae ใบใหญ่กำมะหยี่สีเขียวเข้มลายสีอ่อน,"Velvet Jungle is a Marantaceae with large velvety leaves in dark green with lighter patterning, creating a jungle-like appearance.",ใช้ดินร่วนผสมใบไผ่ รดน้ำด้วยน้ำกรอง ความชื้น 70-80% ต้องการแสงรำไรและอากาศถ่ายเท,high,indirect,very_high,18.0,26.0,moderate,120.0,80.0,FALSE,FALSE,TRUE
65,Epipremnum aureum,โพธอส (เดวิลส์ ไอวี่),Golden Pothos,indoor,easy,French Polynesia,โพธอส (เดวิลส์ ไอวี่) เป็นไม้เลื้อยวงศ์ Araceae ใบเป็นหัวใจสีเขียวด่างเหลือง ปลูกง่าย เหมาะสำหรับมือใหม่,"Golden Pothos is an easy-care aroid climber with heart-shaped green leaves variegated in yellow, perfect for beginners.",ใช้ดินทั่วไประบายน้ำดี รดน้ำเมื่อดินแห้ง ทนต่อแสงน้อย ปลูกในน้ำได้ ตัดแต่งได้ตามต้องการ,low,indirect,low,15.0,30.0,fast,300.0,100.0,TRUE,FALSE,FALSE
66,Epipremnum aureum 'Marble Queen',โพธอส มาร์เบิล ควีน,Marble Queen Pothos,indoor,easy,French Polynesia,โพธอส มาร์เบิล ควีน เป็นไม้เลื้อยวงศ์ Araceae ใบเป็นหัวใจลายหินอ่อนขาวเขียว ปลูกง่าย เติบโตเร็ว,"Marble Queen Pothos is an easy-care aroid climber with heart-shaped leaves in white and green marble patterns, fast-growing.",ใช้ดินทั่วไประบายน้ำดี รดน้ำเมื่อดินแห้ง ต้องการแสงมากกว่าพันธุ์ธรรมดา เพื่อรักษาลายด่าง,low,indirect,low,15.0,30.0,fast,300.0,100.0,TRUE,FALSE,TRUE
67,Epipremnum aureum 'Neon',โพธอส นีออน,Neon Pothos,indoor,easy,French Polynesia,โพธอส นีออน เป็นไม้เลื้อยวงศ์ Araceae ใบเป็นหัวใจสีเขียวสดใส เหมือนแสงนีออน ปลูกง่ายมาก,"Neon Pothos is an easy-care aroid climber with bright neon-green heart-shaped leaves, extremely easy to grow.",ใช้ดินทั่วไประบายน้ำดี รดน้ำเมื่อดินแห้ง ทนแสงน้อยแต่สีจะสวยในแสงสว่าง,low,indirect,low,15.0,30.0,fast,300.0,100.0,TRUE,FALSE,TRUE
68,Epipremnum pinnatum,โพธอส พินนาตุม (เซบู บลู),Cebu Blue,indoor,easy,Philippines,โพธอส พินนาตุม (เซบู บลู) เป็นไม้เลื้อยวงศ์ Araceae ใบสีเขียวแกมน้ำเงิน เป็นมัน ใบแก่จะแยกเป็นแฉก,Cebu Blue is an easy-care aroid climber with blue-green glossy leaves that develop fenestrations with age.,ใช้ดินทั่วไประบายน้ำดี รดน้ำเมื่อดินแห้ง ให้ค้ำยันเพื่อกระตุ้นใบใหญ่และแยกเป็นแฉก,low,indirect,low,15.0,30.0,fast,300.0,100.0,TRUE,FALSE,TRUE
69,Epipremnum amplissimum,โพธอส แอมพลิสซิมุม,Amplissimum,indoor,moderate,Australia,โพธอส แอมพลิสซิมุม เป็นไม้เลื้อยวงศ์ Araceae ใบแยกเป็นแฉกเหมือนใบเฟิร์น สีเขียวเข้ม ขึ้นช้ากว่าโพธอสทั่วไป,"Amplissimum is a moderate-care aroid climber with deeply lobed fern-like leaves in dark green, slower growing than common pothos.",ใช้ดินโปร่งระบายน้ำดี รดน้ำเมื่อดินเริ่มแห้ง ความชื้นปานกลาง ให้ค้ำยันเพื่อกระตุ้นใบแยกแฉก,moderate,indirect,moderate,18.0,28.0,moderate,250.0,100.0,TRUE,TRUE,TRUE
